날짜,open,high,low,close,volume
2022-04-26,98119,98123,98114,98119,21735
2022-04-27,98114,98119,98114,98119,222
2022-04-28,98119,98128,98119,98128,72
2022-04-29,98128,98133,98123,98133,1710
2022-05-02,98133,98153,98133,98153,40772
2022-05-03,98153,98153,98148,98153,1444
2022-05-04,98153,98153,98148,98153,238
2022-05-06,98163,98163,98158,98163,1140
2022-05-09,98163,98163,98163,98163,61
2022-05-10,98168,98168,98163,98163,742
2022-05-11,98163,98163,98163,98163,0
2022-05-12,98173,98173,98173,98173,750
2022-05-13,98183,98188,98183,98188,113
2022-05-16,98188,98188,98188,98188,426
2022-05-17,98192,98192,98192,98192,107
2022-05-18,98197,98197,98192,98197,58
2022-05-19,98197,98197,98197,98197,99
2022-05-20,98212,98212,98212,98212,104
2022-05-23,98216,98216,98212,98212,946
2022-05-24,98216,98221,98216,98221,478
2022-05-25,98226,98226,98221,98226,340
2022-05-26,98226,98226,98226,98226,6
2022-05-27,98245,98245,98241,98245,389
2022-05-30,98250,98250,98245,98250,784
2022-05-31,98260,98260,98255,98255,357
2022-06-02,98264,98264,98264,98264,556
2022-06-03,98279,98279,98274,98274,1483
2022-06-07,98283,98288,98283,98283,751
2022-06-08,98283,98288,98283,98283,3574
2022-06-09,98288,98293,98288,98288,585
2022-06-10,98303,98307,98303,98303,619
2022-06-13,98307,98312,98307,98312,2054
2022-06-14,98312,98317,98312,98312,664
2022-06-15,98317,98322,98317,98322,1247
2022-06-16,98322,98327,98322,98322,309
2022-06-17,98342,98342,98337,98342,2320
2022-06-20,98342,98347,98342,98347,265
2022-06-21,98342,98352,98342,98347,473
2022-06-22,98352,98357,98352,98357,4602
2022-06-23,98357,98362,98357,98362,1491
2022-06-24,98372,98377,98372,98377,2185
2022-06-27,98382,98382,98377,98382,103479
2022-06-28,98387,98387,98382,98387,633
2022-06-29,98387,98392,98387,98387,103936
2022-06-30,98397,98397,98397,98397,113713
2022-07-01,98417,98422,98417,98417,11838
2022-07-04,98417,98422,98417,98422,104174
2022-07-05,98427,98427,98422,98422,1664
2022-07-06,98422,98427,98417,98422,11959
2022-07-07,98432,98432,98427,98432,101964
2022-07-08,98442,98447,98442,98447,22055
2022-07-11,98447,98452,98447,98447,4237
2022-07-12,98457,98457,98452,98457,104315
2022-07-13,98467,98467,98462,98467,1549
2022-07-14,98472,98472,98467,98472,2771
2022-07-15,98482,98482,98482,98482,47
2022-07-18,98492,98497,98492,98497,1908
2022-07-19,98497,98502,98497,98502,7172
2022-07-20,98502,98507,98502,98502,3199
2022-07-21,98507,98512,98507,98512,103039
2022-07-22,98532,98532,98527,98532,2177
2022-07-25,98532,98536,98532,98536,1827
2022-07-26,98536,98541,98536,98541,418
2022-07-27,98551,98551,98546,98551,13768
2022-07-28,98556,98556,98551,98556,16089
2022-07-29,98570,98570,98565,98570,18857
2022-08-01,98575,98580,98575,98580,226486
2022-08-02,98580,98585,98580,98585,152834
2022-08-03,98595,98595,98590,98595,195671
2022-08-04,98600,98600,98595,98600,214080
2022-08-05,98604,98604,98600,98604,246625
2022-08-08,98624,98624,98619,98624,316653
2022-08-09,98629,98629,98624,98629,346190
2022-08-10,98634,98634,98629,98634,349191
2022-08-11,98639,98639,98634,98639,360435
2022-08-12,98654,98659,98654,98659,499402
2022-08-16,98673,98673,98668,98673,376747
2022-08-17,98678,98678,98673,98678,395073
2022-08-18,98682,98682,98678,98682,414071
2022-08-19,98697,98701,98697,98701,427347
2022-08-22,98705,98710,98701,98705,492527
2022-08-23,98710,98710,98705,98710,496459
2022-08-24,98715,98720,98715,98720,242130
2022-08-25,98720,98725,98720,98725,38124
2022-08-26,98740,98744,98740,98744,165541
2022-08-29,98749,98754,98749,98754,476846
2022-08-30,98759,98759,98754,98759,74244
2022-08-31,98759,98764,98759,98764,51651
2022-09-01,98768,98768,98764,98768,624942
2022-09-02,98773,98778,98773,98778,120216
2022-09-05,98793,98798,98793,98798,51383
2022-09-06,98803,98803,98798,98803,115052
2022-09-07,98813,98813,98808,98813,21879
2022-09-08,98833,98838,98833,98838,25387
2022-09-13,98848,98853,98848,98853,57052
2022-09-14,98853,98858,98853,98858,31872
2022-09-15,98863,98863,98858,98863,24312
2022-09-16,98873,98878,98873,98878,102972
2022-09-19,98893,98893,98888,98888,17188
2022-09-20,98893,98898,98893,98898,26257
2022-09-21,98903,98908,98903,98908,81294
2022-09-22,98908,98913,98908,98913,35089
2022-09-23,98928,98928,98923,98928,28360
2022-09-26,98943,98943,98938,98943,39276
2022-09-27,98948,98948,98943,98948,522056
2022-09-28,98953,98953,98948,98948,84576
2022-09-29,98958,98963,98958,98958,37226
2022-09-30,98968,98973,98968,98973,52821
2022-10-04,98998,98998,98993,98998,32804
2022-10-05,99007,99012,99007,99012,216858
2022-10-06,99022,99022,99017,99022,199460
2022-10-07,99032,99032,99027,99032,24578
2022-10-11,99047,99052,99047,99052,56004
2022-10-12,99057,99062,99057,99062,40962
2022-10-13,99066,99071,99066,99071,29893
2022-10-14,99076,99081,99076,99081,44017
2022-10-17,99100,99105,99100,99105,36894
2022-10-18,99115,99115,99110,99115,37249
2022-10-19,99119,99124,99119,99124,21258
2022-10-20,99129,99129,99124,99129,90425
