,equity
2016-01-04,100000000.0
2016-01-05,100000000.0
2016-01-06,100000000.0
2016-01-07,100000000.0
2016-01-08,100000000.0
2016-01-11,100000000.0
2016-01-12,100000000.0
2016-01-13,100000000.0
2016-01-14,100000000.0
2016-01-15,100000000.0
2016-01-18,100000000.0
2016-01-19,100000000.0
2016-01-20,100000000.0
2016-01-21,100000000.0
2016-01-22,100000000.0
2016-01-25,100000000.0
2016-01-26,100000000.0
2016-01-27,100000000.0
2016-01-28,100000000.0
2016-01-29,100000000.0
2016-02-01,100000000.0
2016-02-02,100000000.0
2016-02-03,100000000.0
2016-02-04,100000000.0
2016-02-05,100000000.0
2016-02-11,100000000.0
2016-02-12,100000000.0
2016-02-15,100000000.0
2016-02-16,100000000.0
2016-02-17,100000000.0
2016-02-18,100000000.0
2016-02-19,100000000.0
2016-02-22,100000000.0
2016-02-23,100000000.0
2016-02-24,100000000.0
2016-02-25,100000000.0
2016-02-26,100000000.0
2016-02-29,100000000.0
2016-03-02,100000000.0
2016-03-03,100000000.0
2016-03-04,100000000.0
2016-03-07,100000000.0
2016-03-08,100000000.0
2016-03-09,100000000.0
2016-03-10,100000000.0
2016-03-11,100000000.0
2016-03-14,100000000.0
2016-03-15,100000000.0
2016-03-16,100000000.0
2016-03-17,100000000.0
2016-03-18,100000000.0
2016-03-21,100000000.0
2016-03-22,100000000.0
2016-03-23,100000000.0
2016-03-24,100000000.0
2016-03-25,100000000.0
2016-03-28,100000000.0
2016-03-29,100000000.0
2016-03-30,100000000.0
2016-03-31,100000000.0
2016-04-01,100000000.0
2016-04-04,100000000.0
2016-04-05,101106199.83445556
2016-04-06,99460429.7199073
2016-04-07,99732135.37703568
2016-04-08,101916412.73158532
2016-04-11,94202256.165498
2016-04-12,97219703.62313884
2016-04-14,99522232.17459603
2016-04-15,97059760.70174268
2016-04-18,95517282.86653112
2016-04-19,95780848.20196204
2016-04-20,94652602.18729937
2016-04-21,95894606.53086375
2016-04-22,94961092.12134263
2016-04-25,95331661.7987736
2016-04-26,94851238.30027135
2016-04-27,94903095.1928178
2016-04-28,94968609.73865236
2016-04-29,93989302.68227436
2016-05-02,91934720.41008912
2016-05-03,92665406.65344585
2016-05-04,90961412.39466736
2016-05-09,92009368.37487969
